,Company,JobTitle,Location,EmploymentType,Seniority,Category,GovSupport,Minsalary,Maxsalary,Monthly,JobLink,PostedDate,ClosingDate,RoleResponsibility,Requirements
26,NSEARCH GLOBAL PTE. LTD.,Information Technology Business Analyst,East,Temporary,Executive,Others,Government support available,"$4,500 ","$6,500 ",Monthly,/job/52a3043839af26d38837d4e851cebbee,9-Apr-18,9-May-18,"One of worldäó»s largest and most respected financial services institutions is looking for: Business Analyst Responsibilities:  Create analytic data marts to facilitate model development effort. Identify, profile and analyze data variables Develop data pipeline and create analytic datasets for analytical purpose Work with Model Developer on solution to identify and resolve data abnormalities Perform data wrangling to facilitate analytical efforts Perform other ad hoc tasks or participate in assigned projects where applicable "," Some understanding of credit risks and the different risk dimensions/prisms is preferred Proficiency with data wrangling, analytic, transformation using programming tools such as SAS Good knowledge of SAS is required Highly organized and flexible in prioritizing various competing work demands; Able to work both independently and as part of a team  ------------------------------------------------------------------------------------------------------------------------------------------------- Only shortlisted candidates will be informed. You can also email your CV directly at harry@nsearchglobal.com (for faster processing, please state the exact job applied äóìBusiness Analystäóù) ------------------------------------------------------------------------------------------------------------------------------------------------- Œæ EA License Number: 10C3636 EA Personnel Name: Arora, Hardeep EA Personnel Registration Number: R1111454"
27,BLESSED AGAPE CONNECTIONS PTE. LTD.,Network Engineer,East,Temporary,Executive,Others,Government support available,"$3,000 ","$4,500 ",Monthly,/job/6d617d3d3e26bcc7c07a04e54c09b30e,7-Apr-18,7-May-18,"Responsibilities Data Centres  Manages and operates Data Center.Œæ Responsible for structured cable installation at Data Center Maintain the stock inventory item required for the cross connect; such as utp/fiber patch cord; utp/fiber panel; pig tail, multi core cable, fiber adapter, utp module, fiber module. Responsible for the testers: UTP tester, fiber tester, OTDR. Maintain office network, such as Firewall, Access Point, IP phone Maintain Data Center Security and BMS network (CCTV, Card Access, TOU) Manage the provisioning and maintenance of colocation network services such as DIA, IP Transit, EPL, IPLC  Network Provisioning  Provides provisioning support and technical guidance for both new orders and existing circuits to ensure successful completion and smooth maintenance as required by customers Performs end-to-end testing of fundamental circuits (DIA, EPL, EOSDH, LLC, IPLC, IPVPN, GPON, MPLS & BGP) for proper monitoring and evaluation of speed, connectivity, and quality. Create and update network diagrams for all provisioning Manages Service Completion Document for completed provisioned orders  Network Planning and Operations  Manages, configures, operates and maintains the network equipment - DWDM, SDH, Metro-E, Switches & Routers (CISCO, Juniper, Extreme network), Carrier Ethernet (Raisecom) Provides technical support, maintenance, installation, troubleshooting, configuration, system testing, and documentation of the circuits that has been provisioned Manage AAG, BSCS and IRU capacity Update capacity for network equipment and cross connect patch panel at data centerŒæ Liaise and coordinate with vendors on troubleshooting network equipment which will include faulty equipment repairs and replacements (RMA) Supervises vendor maintenance and implementation work Work closely with vendor on the network expansion and improvement. This includes expansion projects and software bug patches "," Bachelor Degree in Information Technology or Electronics Engineering 3 - 5 yearsäó» experience in network testing (layer 1/2/3 circuits), troubleshooting and configurations of network and network equipmentŒæ Working knowledge of fiber optics, DWDM, routers, switches Working knowledge of telco testers (Ethernet/SDH/power meter, OTDR) "
28,KEPPEL SMIT TOWAGE PRIVATE LIMITED,Business Analyst,East,Contract ...,Fresh/entry level ...,Human Resources ,,"$3,000 ","$6,000 ",Monthly,/job/49699396108e091431045afa0a590d30,6-Apr-18,6-May-18,"Role and Responsibilities  Consult with Management on business needs, plans and strategies. Understand key business processes and KPIs and conduct analyses to monitor business performance and identify gap analysis. Collect, process, analyse data to deliver insights to facilitate decision making and support planning. Mining of data from various relevant sources, ensuring quality and management of these large volume of data. Translate data into analytics and reporting requirements. Organize data for modelling. Automate reports and creating dashboards utilizing appropriate software to support Business Intelligence portal for end usersäó» self-service. Develop creative work plans / workflow to meet timeframes working with key internal stakeholders. "," Bacheloräó»s Degree in Computer Science / Information Technology / Mathematics / Statistics. Knowledge in Shipping, Ship Management, Shipowners experience and logistics value chain a must. Exposed to KPI setting and management. Minimum 3 years of experience in managing database system and writing SQL queries. Strong analytical skills to collect, clean, organize, analyse and disseminate significant amount of information. A critical thinker with attention to details and accuracy. Proficient in articulating and communicating business plans. High level of competence in MS Excel, Access, MS SQL. Ability to manage and drive a wide range of diverse issues and support special projects needs simultaneously. Proficient in articulating and communicating business plans. Experience is using QlikView and Power BI tools preferred. "
29,DBS BANK LTD.,"SVP, Regional Analytics äóñ Country Lead, Consumer Banking Group (1800014L)",East,Contract ...,Fresh/entry level ...,Human Resources ,Government support available,"$15,000 ","$30,000 ",Monthly,/job/7fb092a9aec48372579d3c42a41907c1,6-Apr-18,6-May-18,"The Regional Analytics team drives analytics initiatives across six key markets for DBSäó»s consumer banking franchise; Singapore, Hong Kong, Indonesia, India, Taiwan and China.Œæ This role is focused on conceptualizing business problems in to data problems and work with the data science team to create solutions to deliver business value. In addition, this role will also work with in-country BA team to enhance and improve the capability of the local BA teams to further our goal to be a data driven organization.Œæ  Use analytics and decision science to solve business problems and deliver against business and strategic objectives for DBSäó»s Consumer Banking Group.Œæ Understand business drivers/priorities to identify opportunities where analytics can create value and work with data scientist to experiment, develop, test and roll out successful analytics solutions Use data and insights to work with channel owners to improve digital journeys, and drive acquisition and usage to increase engagement and improve customer experience Collaborate closely with stakeholders to ensure understanding and acceptance of analysis/insights and follow through on execution plans to achieve measurable improvement "," Understanding of Consumer Banking related products and services is preferredŒæ Strong influencing skills; strategic thinker; hands-on and delivery focused Good understanding of analytical techniques/campaign tools/digital and banking data Impeccable business acumen, proven ability to commercialize opportunities through data driven solutions Highly adaptable, self-starter, ability to deal with ambiguity, thrives in fast-moving and high-growth environments, bias towards action Degree holder with 8 -12 yearsäó» experience in financial institution or top tier consulting firm with experience, analytics and project managementŒæ "
30,DBS BANK LTD.,"VP, Regional Analytics äóñ Country Lead, Consumer Banking Group (1800014L)",South,Permanent,Professional,Information Technology,Government support available,"$10,400 ","$18,700 ",Monthly,/job/b1671b25b0306e8ee067ec16d4013ef9,6-Apr-18,6-May-18,"The Regional Analytics team drives analytics initiatives across six key markets for DBSäó»s consumer banking franchise; Singapore, Hong Kong, Indonesia, India, Taiwan and China.Œæ This role is focused on conceptualizing business problems in to data problems and work with the data science team to create solutions to deliver business value. In addition, this role will also work with in-country BA team to enhance and improve the capability of the local BA teams to further our goal to be a data driven organization.Œæ  Use analytics and decision science to solve business problems and deliver against business and strategic objectives for DBSäó»s Consumer Banking Group.Œæ Understand business drivers/priorities to identify opportunities where analytics can create value and work with data scientist to experiment, develop, test and roll out successful analytics solutions Use data and insights to work with channel owners to improve digital journeys, and drive acquisition and usage to increase engagement and improve customer experience Collaborate closely with stakeholders to ensure understanding and acceptance of analysis/insights and follow through on execution plans to achieve measurable improvement "," Understanding of Consumer Banking related products and services is preferredŒæ Strong influencing skills; strategic thinker; hands-on and delivery focused Good understanding of analytical techniques/campaign tools/digital and banking data Impeccable business acumen, proven ability to commercialize opportunities through data driven solutions Highly adaptable, self-starter, ability to deal with ambiguity, thrives in fast-moving and high-growth environments, bias towards action Degree holder with 8 -12 yearsäó» experience in financial institution or top tier consulting firm with experience, analytics and project managementŒæ "
31,FINANTIX ASIA-PACIFIC PTE. LTD.,Junior Machine Learning Engineer,South,Permanent,Professional,Information Technology,,"$4,000 ","$7,000 ",Monthly,/job/b3f1c820bac4eb207ed7997d744150ba,6-Apr-18,6-May-18,"This is an opportunity for an independent driven individual looking for challenges and eager to learn, and develop machine learning related algorithms and apply to finance wealth management industry. Œæ  Deep focus on data analysis, machine learning libraries, big data applications Design, setup, customisation and implementation of machine learning algorithms applied to finance problematics Integration of Finantix applications with Clientäó»s existing or new systems, services and devices, with java developeräó»s collaboration Prepare documentation, research papers. Research and conception around different machine learning/deep learning solutions: recommender systems, NLP etc  Œæ General requirements Œæ  Ability to demonstrate working experience as data scientist/stastitician/machine learning engineer on the relevant set of technologies Hands-on experience in analysis, design, coding of mathematic/data science/machine learning algorithms Some experience with Object Oriented Programming and Design Patterns  Œæ Technical Requirements Œæ - Master in mathematic (statistics, probability, etc) or Computer Science or Data Science - Fluency with Python is highly desirable. - Fluency in Java or C++ - Familiarity with basic models such as k-means, logistic regression, PCA. Should be able to articulate when they would be used Œæ and implement the solution. - Should know terminology such as clustering, supervised learning, latent variables, optimization, cross validation, softmax. - Should be familiar with at least one neural network library (tensorflow, theano, caffe, pytorch, keras). - Should be able to understand/parse mathematical equations (matrix operations, subscripts, summations) and be comfortable Œæ translating equations into code. - Ideally also knows terminology such as posterior distribution, posterior sampling, loss function, prior distribution.","Œæ  Demonstrates accurate and structured programming and testing practices Demonstrates strong commitment to reach commonly agreed objectives Fast learner with strong capabilities to comprehend complex software applications Independently solve problems and seek for others advice if required Provides clear, convincing and constructive communications Establishes harmonious working relationships with team members and displays a positive attitude "
32,AUDIENCE ON DEMAND,Senior / Analytics Manager,Central,Contract,Executive,Information Technology,Government support available,"$4,500 ","$9,000 ",Monthly,/job/a906f6be0f3443f445392cddebdb2864,6-Apr-18,6-May-18," Architect solutions & provide optimization recommendations that drive results on client campaigns & objectives Provide thought leadership and guidance in the development of client-facing presentations and results read-outs Translate large scale data into human insights and stories which drive change in programmatic strategy and tactics Oversee the coding of data extraction, transformation and models in SQL and Python (R a plus but not required) Quickly understand multiple data sources and develop methodology for joining data that will add value Oversee development of custom performance reporting and analyses across multiple channels/clients Oversee development of actionable dashboards for internal and external clients in Excel and Tableau Oversee production of compelling Case Studies that draw out key data points to articulate the value and quality of Precision programmatic capabilities for the purpose of new business pitches, PR and award entries. Work with various internal stakeholders across Precision and Publicis Media to ensure projects are completed in a timely manner Manage the Precision Analyst to ensure that objectives are being met "," Minimum 4 yearsäó» of experience Demonstrated proficiency in multiple digital media channels Understanding of relational databases and strong understanding of data processing Experience managing a team of analysts or other quantitative thinkers Experience Mobile and Video advertising in Paid Social and Display. Exposure to Facebook and Google digital media platforms desirable as well as DSP and DMP platforms.Œæ Experience designing and measuring media- and audience-based tests in a variety of channels CRM Data Analysis (Customer Segmentation, Churn, Lifetime Value, Acquisition, etc.) desirable Experience with digital marketing or web analytics preferred (Omniture, CoreMetrics, Google Analytics, WebTrends, etc.) Excellent written and oral presentation skills Strong problem solving and consulting skills Master's degree in Marketing, Statistics, Engineering or related quantitative field required. "
33,BUSINESS EDGE PERSONNEL SERVICES PTE LTD,Statistical Officer (1May2018 to 31Mar2019),Central,Contract,Executive,Information Technology,,"$3,450 ","$3,450 ",Monthly,/job/3088f54f634c31cff2390c0ef0f7faae,5-Apr-18,5-May-18,"Location: Near Pasir Panjang  The staff will assist in data processing and post-survey data analysis works. The work will involve cleaning of the datasets and ensure that there are no data discrepancies before the analysis. in addition, the staff will also assist survey officers by using in-house statistical tools such as SPSS or Stata to prepare data based on various cuts and requirements by the line division or stakeholders. Able to synthesise research and data across multiple sources to derive meaningful conclusions/insights Self-starter with strong numerical and analytical skills  interested applicants may submit resume to jl@businessedge.com.sg Œæ"," Good Degree/Post-graduate Degree in Economics/Statistics or equivalent Good knowledge of quantitative research methodologies Good knowledge in using econometric/statistical software such as SPSS, STATA, R, Eview "
34,JONES LANG LASALLE PROPERTY MANAGEMENT PTE LTD,Regional Finance Manager,Central,Full Time,Executive,Information Technology,Government support available,"$6,000 ","$9,000 ",Monthly,/job/6c643e83b5c4fbf3b2efd9f29004c0a1,5-Apr-18,5-May-18,"About JLL   Weäó»re JLL. Weäó»re a professional services and investment management firm specializing in real estate. We help organizations around the world achieve their ambitions by owning, occupying and investing in real estate. Weäó»re a Fortune 500 company. We work across 80 countries, in 280 different offices, with a team of over 77,000 individuals. And we look after a property portfolio of over 4bn square feet, all on behalf of our clients. If youäó»re looking to step up your career, JLL is the perfect professional home. At JLL, youäó»ll have a chance to innovate with the worldäó»s leading businesses, put that expertise into action on landmark projects, and work on game-changing real estate initiatives. Youäó»ll also make long-lasting professional connections through sharing different perspectives, and youäó»ll be inspired by the best. Weäó»re focused on opportunity and want to help you make the most of yours. Achieve your ambitions äóñ join us at JLL!  We are looking for Regional Finance Manager  ŒæWhat this job involves: Œæ  ProvidingŒæclear direction and strategic Financial advice to the team across the region Sets objectives and measurable goals and motivates others to achieve them Maintain all relevant policies and procedures with respect to all financial and support services associated with the account Serve as a primary liaison with the Clientäó»s primary financial managers/units. Lead by example and groom the team in achieving maximum client satisfaction level Oversee and coordinate the activities of the team across the region with respect to:   Financial Administration Report production Information Ensure accurate and timely financial information is provided to all members of management team Ensure adequate flow of information that results in accountability and ownership Ensure timely production of annual budgets for the portfolio in conjunction with Regional Operations Director and Country Account Managers Maintain thorough understanding of clientäó»s accounting structure and associated systems and translating knowledge to ensure smooth and consistent flow of financial data Develop, maintain and deliver in timely manner the Clientäó»s approved financial formats across the region Prepare and analyze multi-x monthly financial data, timely production of account annual budgets/forecast and monthly reporting pack   Œæ Develop systems and processes to enable benchmarking and performance analytics across the clientäó»s portfolio, including but not limited to cost and energy savings and operational service delivery Facilitate the implementation of JLL technology to enhance the delivery of benchmarking and performance analytics to the client as and when required Oversee and coordinate activities of the team across the region with respect to:   Savings tracking and reporting Contract management. Meeting client satisfaction and key performance indicators   Ensure data integrity of the systems across the region and audit data Ensure that appropriate process and system controls are in place and maintained to guarantee the integrity of all transactions Ensure that all financial accounting and reporting is audit worthy and in keeping with recognized quality management processes Ensure all staff are well trained on financial systems and effectively able to extract data from the system ","Sound like you? To apply you need to be:  ŒæExperience in Finance/Accounting with min 8 years in MNC with regional exposure. Property Accounting exp preferred. Educated to Degree level in accounting or finance. Accounting certification preferred. Strong accounting knowledge, US GAAP knowledge preferred Strong analytical, organizational, and coordination skills  ŒæWhat you can expect from us  You will be given a remarkable opportunity to contribute and hone your technical competencies at one of our most prestigiousŒæprojects. Œæ Youäó»ll join an entrepreneurial, inclusive culture. One where we succeed together äóñ across the desk and around the globe. Where like-minded people work naturally together to achieve great things. Our Total Rewards program reflects our commitment to helping you achieve your ambitions in career, recognition, wellbeing, benefits and pay. Weäó»ll offer you a competitive salary and benefits package. Join us to develop your strengths and enjoy a fulfilling career full of varied experiences. Keep those ambitions in sights and imagine where JLL can take you... Apply today!"
35,GOVERNMENT TECHNOLOGY AGENCY,Senior Applications Consultant (SAP MM / Logistics),Central,Full Time,Executive,Information Technology,,,,,/job/a1af0a2d78d0b0c247c2f55eb7d49725,5-Apr-18,20-May-18," You will advise Agencies on key trends and best practice for ERP solution locally and internationally to meet the business domainäó»s objectives and solve business problems, assess applicability for adoption, manage user requirements, and provide IT solutions to bridge business needs. You are knowledgeable in SAP logistics related modules. Success in this role will be demonstrated by your ability to conduct business analysis, including business analysis planning and monitoring, business needs exploration and identification, requirement analysis, solution assessment and validation, and requirement management and communication. What to expect:    Provide primary business analysis support for SAP Logistics - Materials Management (MM), Inventory Management (IM), Plant Maintenance (PM), Real Estate (RE)   Work with the vendor on technical solutions   Review functional specifications/designs from vendors to ensure meeting User requirements specifications   Develop the validation and acceptance criteria (e.g. test cases preparation, test data preparation, etc) with project team and departments   Work with project team and departments on business deployment approach and ensure smooth deployment   Work with project team and departments and Service/Change Management to ensure solution meets stated needs     Review system testing, integration testing and data conversion (i.e. data cleansing, data migration, etc) documents   Keeping abreast of SAP Logistics developments and propose areas of process improvements   Ensure business process system changes across HTDs are harmonized through cooperative alignment   Review and assure the application software security compliance for the SAP customizations and system interfaces    Œæ How to succeed:   5 or more years of hands-on SAP project experience in proposing, implementing and managing SAP projects for large organizations, with relevant technical competency and experience in the business domains of Finance/Controlling   Experience with SAP Logistics implementation including process analysis, configuration, developments, data migration, testing, documentation, training & delivery, end user support   Good understanding of SAP Logistics Processes Materials Management (MM), Inventory Management (IM), Plant Maintenance (PM)   Experience designing SAP Logistics solutions using SAP RICEFW (Report, Interface, Conversion, Enhancements, Forms and Workflow) objects   Familiar with the integration points between the various SAP logistics submodules and Finance/Controlling sub-modules (i.e. FI-AP, FI-GL, FI-AA, FI-CCA)Œæ   Pluses+   Knowledge of SAP S/4 HANA Logistics development is desirable   Experience with Government procurement process/GeBiz would be added advantage   Experience with SAP Warehouse Management (WM), Project System (PS), Project Management Portfolio Management (PPM) would be added advantageŒæ   ",-
36,OFO SG PTE. LTD.,Business Intelligence Analyst - Singapore Full time Strategy,West,Full Time,Manager ...,Others,,"$4,000 ","$10,000 ",Monthly,/job/8316c020715c11be9fd1f3f923c4e3ee,5-Apr-18,5-May-18,"Review and ensure integrity of data collection and utilization Perform data profiling to identify and understand anomalies Use complex computer programs to mine data sources and look for trends. Identify patterns and analyse data to determine what data trends mean Seek area of improvements through in-depth analysis of all key variables affecting our processes and business performance Present findings and recommend solutions to management Build, develop, maintain and own complex models in order to generate long term and short-term business forecasts.","Bachelor's degree in business, management, accounting, economics, statistics, information science or similar 3+ yearsäó» experience in a business intelligence role Ability to understand and find appropriate applications for data and analysis results Experience in large projects with many concurrent data streams Knowledge of SQL is preferred Comes with positive vibes to cultivate strong business relationships across different business levels A strong supporter of the sharing economy, passionate about sustainability and environmental issues Comfortable to work in a very fast-paced environment, good organisational and project management skills"
37,CATLIN SINGAPORE PTE. LTD.,Underwriting Assistant,West,Full Time,Manager ...,Others,,"$4,500 ","$8,000 ",Monthly,/job/ed45d4ab3d7df749e5728d16b1c2fa0c,5-Apr-18,5-May-18,"In this role, you will ensure accurate, efficient processing of (complex) global program accounts and non- program accounts as well as overall compliance with XL policies. Furthermore, the role holder has in- depth knowledge of at least one line of business, can support UW in pre- and post-bind processes and other UW-related tools (like pricing tool, modelling requests / bound packages, compliant program structures, country research etc.). Œæ Key Accountabilities: Submission/Renewal Phase  Timely requests to off-shore team for quote creation and name clearance activities. Timely and accurate binding (or declinature) of quotes. At request from Underwriting, participate in client/broker meetings to illustrate account implementation capabilities and provide deal structuring advice.  Œæ Implementation Phase  Timely and accurate processing of pipeline premium. Proactive engagement with underwriting to ensure for new and renewed accounts an efficient and smooth account hand over, to ensure information received is understood and complete in order to process / instruct policies on system(s). For new/ renewed global programs / local produced risks: Determine optimal reflection of program structure in the underwriting system, be mindful of downstream and reporting impacts when doing so. Ensure timely and high quality implementation by means of related system procedures and creation of instruction document for the network, i.e. ensure related data is complete & accurate to instruct local policy details. Likewise, processing ofŒæ non-programŒæ accountsŒæ according to the defined KPI and underlying processing rules/guidelines (incl. system data entries). Ensures timely and complete documentation of files handled by role holder in UW file (on document management system). Accountable for correct (RI) premium, (RI) commission and tax bookings in processing systems. Keeps track of implementation progress and liaises with local staff to resolve queries etc. of an account globally (per defined KPI) and proactively take appropriate action. Premium collection accountability of accounts globally / locally and take appropriate proactive action to ensure optimal collection performance.  Œæ Maintenance Phase  At request of Underwriting, ensure timely and high quality implementation of mid-term endorsements, issuance of certificates of insurance and focus on premium collection monitoring (according to the processing rules and guidelines, incl. system data entries). Ensure appropriate communication flow between Underwriting and EO and network for mid-term endorsements. Act as interface role between Underwriting and Local Policy Administration as well as Credit Control teams. Foster positive relationship with internal/external counterparts to get a mutual understanding of their needs. Deal with and address requests originating from client/broker immediately and refer to Underwriting as required and as timely as possible. Seek confirmation from Underwriting prior to implementation of change request.  Œæ General Support  Develop an internal network for facilitating the transfer of information and data between functions and departments in order to service the requirements of the underwriters and clients. Develop expert level knowledge with regards to systems and processes and keep abreast of new guidelines published. ActŒæ as reference point for others in unit when questions come up and/or uncertainties exist. Upon request, act as SME to provide input / proof-read instructions ahead of them being published. Ensure data quality accuracy ratios at the defined level/metrics.  Œæ You will report to the Team Leader Insurance Operations.","Weäó»re looking for someone who has these abilities and skills:  Educated to at least high school level or similar Experience: Minimum 5 years relevant experience plus Global program administration knowledge Strong communication: Excellent verbal and written communication, collaboration, presentation and influencing skills. Able to communicate effectively with internal and external stakeholders at all levels of sophistication. Ability to work in a fast-paced environment and efficiently juggle numerous concurrent responsibilities. Collaborative approach: Develop and maintain productive working relationships with insured, brokers, claim handlers, underwriters and legal counsel.Œæ Provide guidance and seek input from others as needed to achieve the best result possible. Capable of working and collaborating with a virtual team. Attention to detail: Understands the importance of getting the little details right and takes pride in getting it right the first time. Time Management: Ability to plan each day/week depending of workloads. Must possess the skill to prioritize extra tasks as they arise. Continuous Improvement Focused: Willing to ask questions and explore new ideas. Eager to learn and focused on continuously improving technical skills and XL Catlin claims capabilities. Results Oriented: Approach tasks proactively and anticipate needs. Think quickly and prioritize multiple work streams without sacrificing quality. Act with a sense of urgency.  Œæ"
38,NATIONAL UNIVERSITY OF SINGAPORE,Research Assistant,Central,Full Time,Professional,Banking and Finance,,"$2,500 ","$4,000 ",Monthly,/job/c43712a5719ee8eb01e51e88f9d01c0b,5-Apr-18,5-May-18,"NUHS Memory, Aging, & Cognition Centre:  Opportunity for a Research Assistant STATEMENT OF PURPOSE  To conduct neuropsychological assessments, and to assist in research procedures. Candidates will gain training and exposure to research skills (running study, data collection, data analysis and communication skill). Œæ DUTIES AND RESPONSIBILITIES  (A) SPECIFIC (80%) 1. Conduct neuropsychological assessment and follow-up of patients and subjects for research purposes/clinicŒæ 2. Assist in data entry and data analysis of research projects 3. Obtaining additional or confirmatory clinical data by interviews with caregivers (B) GENERAL (20%) 1. The Research Assistant will carry out other duties as specified by their Reporting Officer.","JOB REQUIREMENTS  (A) EDUCATION, TRAINING AND EXPERIENCE 1. BSc, BA, BA (Psych) or relevant Background. Final year students are welcome to apply. (B) LANGUAGE  Able to speak English, Mandarin and/or Chinese dialects Fluency in Malay or Tamil are added advantage  Contact Persons Yin Hsia Assistant Manager Email address: phctyhy@nus.edu.sg Applications should reach us by 20th May 2018. Œæ We regret that only shortlisted candidates will be notified."
39,NANYANG TECHNOLOGICAL UNIVERSITY,Research Fellow,Central,Full Time,Professional,Banking and Finance,Government support available,"$4,000 ","$4,500 ",Monthly,/job/f7aa45be12364531dd2804b909c11bb0,3-Apr-18,3-May-18,"A Research Fellow position is currently available in the School of Computer Science and Engineering, Nanyang Technological University in the advanced data stream analytics for various real-life applications.Œæ The Research Fellow will be involved inŒæalgorithmic development of novel algorithms for data stream analytics (clustering, prediction and classification). The developed algorithm will be tested in real-world streaming data and will cope with heterogeneous and uncertain data (image, text, video, etc). Memory efficiency and predictive accuracy under non-stationary conditions will be the underlying focus of investigation. Applicants with strong expertise in other aspects of data science and computational intelligence are welcome to apply.","The candidate should haveŒæa PhD degree in computer science or related discipline from reputable universities. He/she must have excellent publication track record in the top venues: IEEE TFS, IEEE TNNLS, IEEE TCB, IEEE TEC etc as well as research experience in the data science related fields. Fluency in programming is necessary for this position (JAVA, C/C++, MATLAB, R). Good writing and speaking skill in English is required to this position."
40,IMS HEALTH ASIA PTE LTD,"Commercial Solutions Manager, Business Intelligence",Central,Permanent,Manager,Healthcare / Pharmaceutical,Government support available,"$6,000 ","$9,000 ",Monthly,/job/596e5435151036a45ef1acce2f8b30da,3-Apr-18,3-May-18,"Title: Manager - Commercial Solutions, Services APAC (BI & SFE) Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ Œæ ŒæŒæ Position Purpose: We are seeking to enhance our Business Development capability within IQVIA APAC to support the future ambitions of the business. Key to this is the recruitment of a Business Development (Commercial Solutions) Manager to drive sales across our services Business. Our technology & Services include, but are not limited to: Market Research & Management Consulting.Œæ Additionally Business Intelligence Data, Analytics, Technology (e.g. dashboards, Integrated cloud CRM/MCM/CLM) ŒæŒæŒæŒæŒæŒæŒæŒæŒæŒæŒæ We are in an exciting phase of further developing the IQVIA business following the merger and rebranding, we continue the transition from an established data provider in the healthcare industry, to partnering with our clients in order to provide end to end solutions. The power of IQVIA is in our IQVIA CORE, a unique set of capabilities derived by the integration of our foundational data, advanced analytics, new technologies, and significant domain expertise.Œæ  Œæ Our team includes clinicians, epidemiologists, biostatisticians, data scientists, tech experts, service experts and many more.Œæ They understand how healthcare works in over 100 markets.Œæ What the regulations are.Œæ Where patients are treated.Œæ What treatments are available and how they are reimbursed.Œæ How information is generated.Œæ And our global experts understand how to work with healthcare information to make it meaningful to use for all our applications. They understand how the commercial and reimbursement models in each of the countries work and to understanding the patient pathways across different therapeutic areas to apply data in order to extract the best insights.  ŒæŒæŒæŒæŒæŒæŒæŒæŒæŒæŒæ Œæ Principal Accountabilities: Œæ  Lead Business Development within Rx engaging SFE & Business Intelligence Functions  Engage and build strong relationships with senior executives and strategic leaders in these client functions Working in partnership with the Primary intelligence Principals to sell Primary Market Research Solutions  Working in partnership with the Analytics, Tech & SFE Principals to sell Consulting & Analytics Solutions Run Quarterly Engagement Events (Breakfast / Lunchäó»s Evening Forums) to engage Specific Functional Communities Effective execution against client needs and IQVIA revenue targets Gain intimate knowledge of the client and challenge with innovative ideas in order to develop and close opportunities, to provide end-to-end solutions, to grow the size/duration/value of sales over time. Develop a good understanding of the breadth of IQVIAäó»s capabilities to maximize ability to grow accounts Collaborate with IQVIA colleagues across the organization to ensure they are engaged and aligned to the account strategy and support new business opportunities within clients. Work closely with colleagues to pull together successful, complex solutions for clients. Methodical completion of underpinning sales activities (eg account planning, financial reporting, opportunity management etc) ","Essential Experience, Skills and Education Required: Œæ  Graduate caliber Proven track record of solution selling across a diverse portfolio of capabilities Strong Consulting sales experience opportunity management skills across the full sales cycle (from lead identification to contract negotiations and closing) Ability to engage Senior level contacts, as well as develop a network of senior and middle management contacts to build long lasting trusted partnerships Proven track record of managing a balanced pipeline of both short term tactical opportunities and long term strategic engagements. Sales value of $150k+ single and multi-year Able to create strategic and tactical customer plans Strong understanding of financial reporting/forecasting and sales opportunity management Knowledge of the Pharma sector or evidence of successfully moving into a new market sector. Competent in the use of Microsoft office, to deliver professional client communications including Word, PowerPoint and Excel Excellent written and verbal communication skills with proven ability to interpret and present complex concepts Proactive, self-motivated and accountable with the aim to always drive positive client satisfaction Strategic thinker with a solution focus, combined with ability to execute tactically Œæ Ability to develop strong internal relationships and to work collaboratively to pull together client engagements and delivery of projects  "
